Województwa,Stopa bezrobocia w %
      m. Sopot                                                        ,1.4
Woj. ŚLĄSKIE                                                          ,3.7
      będziński                                                       ,5.9
      bielski                                                         ,3.0
      cieszyński                                                      ,4.4
      częstochowski                                                   ,6.2
      gliwicki                                                        ,4.0
      kłobucki                                                        ,6.3
      lubliniecki                                                     ,5.7
      mikołowski                                                      ,2.8
      myszkowski                                                      ,5.4
      pszczyński                                                      ,2.4
      raciborski                                                      ,3.8
      rybnicki                                                        ,4.9
      tarnogórski                                                     ,4.7
      bieruńsko-lędziński                                             ,2.1
      wodzisławski                                                    ,4.6
      zawierciański                                                   ,6.3
      żywiecki                                                        ,6.1
      m. Bielsko-Biała                                                ,1.8
      m. Bytom                                                        ,8.3
      m. Chorzów                                                      ,3.4
      m. Częstochowa                                                  ,3.1
      m. Dąbrowa Górnicza                                             ,4.3
      m. Gliwice                                                      ,2.5
      m. Jastrzębie-Zdrój                                             ,4.1
      m. Jaworzno                                                     ,3.8
      m. Katowice                                                     ,1.1
      m. Mysłowice                                                    ,4.8
      m. Piekary Śląskie                                              ,6.1
      m. Ruda Śląska                                                  ,2.6
      m. Rybnik                                                       ,3.0
      m. Siemianowice Śląskie                                         ,4.3
      m. Sosnowiec                                                    ,5.6
      m. Świętochłowice                                               ,6.1
      m. Tychy                                                        ,2.2
      m. Zabrze                                                       ,4.8
      m. Żory                                                         ,3.4
Woj. ŚWIĘTOKRZYSKIE                                                   ,7.7
      buski                                                           ,3.2
      jędrzejowski                                                    ,7.0
      kazimierski                                                     ,6.7
      kielecki                                                        ,10.5
      konecki                                                         ,10.8
      opatowski                                                       ,12.6
      ostrowiecki                                                     ,10.3
      pińczowski                                                      ,6.1
      sandomierski                                                    ,6.3
      skarżyski                                                       ,14.3
      starachowicki                                                   ,7.8
      staszowski                                                      ,6.3
      włoszczowski                                                    ,6.1
      m. Kielce                                                       ,4.9
Woj. WARMIŃSKO-MAZURSKIE                                              ,8.7
      bartoszycki                                                     ,15.9
      braniewski                                                      ,18.9
      działdowski                                                     ,13.6
      elbląski                                                        ,13.8
      ełcki                                                           ,10.9
      giżycki                                                         ,6.7
      iławski                                                         ,4.4
      kętrzyński                                                      ,17.0
      lidzbarski                                                      ,12.9
      mrągowski                                                       ,8.1
      nidzicki                                                        ,7.3
      nowomiejski                                                     ,7.3
      olecki                                                          ,9.9
      olsztyński                                                      ,9.0
      ostródzki                                                       ,9.5
      piski                                                           ,11.1
      szczycieński                                                    ,8.1
      gołdapski                                                       ,8.9
      węgorzewski                                                     ,12.1
      m. Elbląg                                                       ,6.3
      m. Olsztyn                                                      ,2.7
Woj. WIELKOPOLSKIE                                                    ,2.8
      chodzieski                                                      ,6.3
      czarnkowsko-trzcianecki                                         ,3.9
      gnieźnieński                                                    ,3.9
      gostyński                                                       ,4.9
      grodziski                                                       ,3.5
      jarociński                                                      ,3.5
      kaliski                                                         ,2.1
      kępiński                                                        ,1.7
      kolski                                                          ,3.9
      koniński                                                        ,8.0
      kościański                                                      ,2.9
      krotoszyński                                                    ,2.9
      leszczyński                                                     ,2.5
      międzychodzki                                                   ,4.4
      nowotomyski                                                     ,2.0
      obornicki                                                       ,2.8
      ostrowski                                                       ,2.5
      ostrzeszowski                                                   ,3.8
      pilski                                                          ,4.5
      pleszewski                                                      ,3.4
      poznański                                                       ,1.2
      rawicki                                                         ,4.0
      słupecki                                                        ,6.6
      szamotulski                                                     ,2.7
      średzki                                                         ,5.7
      śremski                                                         ,1.6
      turecki                                                         ,3.8
      wągrowiecki                                                     ,4.7
      wolsztyński                                                     ,1.5
      wrzesiński                                                      ,3.3
      złotowski                                                       ,5.4
      m. Kalisz                                                       ,2.4
      m. Konin                                                        ,5.4
      m. Leszno                                                       ,3.1
      m. Poznań                                                       ,1.1
Woj. ZACHODNIOPOMORSKIE                                               ,6.5
      białogardzki                                                    ,16.3
      choszczeński                                                    ,14.6
      drawski                                                         ,12.3
      goleniowski                                                     ,5.5
      gryficki                                                        ,5.7
      gryfiński                                                       ,8.4
      kamieński                                                       ,11.9
      kołobrzeski                                                     ,1.2
      koszaliński                                                     ,10.8
      myśliborski                                                     ,6.6
      policki                                                         ,4.0
      pyrzycki                                                        ,10.8
      sławieński                                                      ,11.6
      stargardzki                                                     ,7.7
      szczecinecki                                                    ,13.6
