Województwa ,Stopa bezrobocia w %
      m. Jaworzno                                                     ,4.1
      m. Katowice                                                     ,1.6
      m. Mysłowice                                                    ,5.2
      m. Piekary Śląskie                                              ,6.6
      m. Ruda Śląska                                                  ,3.0
      m. Rybnik                                                       ,3.5
      m. Siemianowice Śląskie                                         ,5.2
      m. Sosnowiec                                                    ,6.3
      m. Świętochłowice                                               ,7.2
      m. Tychy                                                        ,2.5
      m. Zabrze                                                       ,5.7
      m. Żory                                                         ,3.3
Woj. ŚWIĘTOKRZYSKIE                                                   ,8.3
      buski                                                           ,3.9
      jędrzejowski                                                    ,7.1
      kazimierski                                                     ,7.5
      kielecki                                                        ,10.9
      konecki                                                         ,11.5
      opatowski                                                       ,13.7
      ostrowiecki                                                     ,11.3
      pińczowski                                                      ,6.6
      sandomierski                                                    ,6.8
      skarżyski                                                       ,15.7
      starachowicki                                                   ,8.0
      staszowski                                                      ,7.2
      włoszczowski                                                    ,6.3
      m. Kielce                                                       ,5.4
Woj. WARMIŃSKO-MAZURSKIE                                              ,10.4
      bartoszycki                                                     ,18.8
      braniewski                                                      ,21.0
      działdowski                                                     ,15.6
      elbląski                                                        ,16.4
      ełcki                                                           ,12.9
      giżycki                                                         ,9.0
      iławski                                                         ,4.8
      kętrzyński                                                      ,18.5
      lidzbarski                                                      ,14.7
      mrągowski                                                       ,10.9
      nidzicki                                                        ,8.2
      nowomiejski                                                     ,8.0
      olecki                                                          ,12.0
      olsztyński                                                      ,10.8
      ostródzki                                                       ,11.2
      piski                                                           ,13.2
      szczycieński                                                    ,9.4
      gołdapski                                                       ,10.5
      węgorzewski                                                     ,17.5
      m. Elbląg                                                       ,8.1
      m. Olsztyn                                                      ,3.4
Woj. WIELKOPOLSKIE                                                    ,3.1
      chodzieski                                                      ,6.9
      czarnkowsko-trzcianecki                                         ,4.5
      gnieźnieński                                                    ,4.6
      gostyński                                                       ,5.4
      grodziski                                                       ,4.0
      jarociński                                                      ,3.8
      kaliski                                                         ,2.3
      kępiński                                                        ,1.8
      kolski                                                          ,4.4
      koniński                                                        ,9.0
      kościański                                                      ,3.0
      krotoszyński                                                    ,3.3
      leszczyński                                                     ,2.9
      międzychodzki                                                   ,4.7
      nowotomyski                                                     ,2.1
      obornicki                                                       ,3.3
      ostrowski                                                       ,2.8
      ostrzeszowski                                                   ,4.3
      pilski                                                          ,4.5
      pleszewski                                                      ,3.6
      poznański                                                       ,1.4
      rawicki                                                         ,4.1
      słupecki                                                        ,7.7
      szamotulski                                                     ,3.1
      średzki                                                         ,5.5
      śremski                                                         ,1.9
      turecki                                                         ,4.4
      wągrowiecki                                                     ,5.7
      wolsztyński                                                     ,1.4
      wrzesiński                                                      ,3.4
      złotowski                                                       ,7.0
      m. Kalisz                                                       ,2.6
      m. Konin                                                        ,6.2
      m. Leszno                                                       ,3.5
      m. Poznań                                                       ,1.2
Woj. ZACHODNIOPOMORSKIE                                               ,7.4
      białogardzki                                                    ,18.5
      choszczeński                                                    ,16.4
      drawski                                                         ,13.1
      goleniowski                                                     ,5.5
      gryficki                                                        ,9.2
      gryfiński                                                       ,10.3
      kamieński                                                       ,15.0
      kołobrzeski                                                     ,2.5
      koszaliński                                                     ,12.4
      myśliborski                                                     ,7.8
      policki                                                         ,4.2
      pyrzycki                                                        ,11.9
      sławieński                                                      ,14.0
      stargardzki                                                     ,8.0
      szczecinecki                                                    ,15.2
      świdwiński                                                      ,14.2
      wałecki                                                         ,8.5
      łobeski                                                         ,19.9
      m. Koszalin                                                     ,5.0
      m. Szczecin                                                     ,2.5
      m. Świnoujście                                                  ,4.2
